,wavelen,flux,flux_unc,mask
1851,4519.839555049285,1.1354216012541154e-15,4.519699999999999e-19,True
1852,4520.913879200706,1.141659688294113e-15,4.58079e-19,True
1853,4521.988458709063,1.211229999540693e-15,4.51649e-19,True
1854,4523.063293635053,1.21148571947394e-15,4.52723e-19,True
1855,4524.138384039377,1.22028600607581e-15,4.500830000000002e-19,True
1856,4525.213729982777,1.2201416394569961e-15,4.54594e-19,True
1857,4526.289331525985,1.22413628558591e-15,4.574919999999999e-19,True
1858,4527.365188729753,1.223933954578375e-15,4.62794e-19,True
1859,4528.441301654851,1.1777507205802201e-15,4.620390000000001e-19,True
1860,4529.517670362051,1.176685199586654e-15,4.70994e-19,True
1861,4530.594294912176,1.1407375402811172e-15,4.64624e-19,True
1862,4531.671175366014,1.1386301982662562e-15,4.623520000000001e-19,True
1863,4532.7483117843885,1.1304957424974503e-15,4.703780000000001e-19,True
1864,4533.82570422815,1.1296060318487738e-15,4.690489999999999e-19,True
1865,4534.90335275817,1.1222608497720027e-15,4.67027e-19,True
1866,4535.981257435291,1.1211757341080417e-15,4.616679999999999e-19,True
1867,4537.059418320407,1.1353570494874947e-15,4.682599999999999e-19,True
1868,4538.137835474416,1.1376100645287386e-15,4.57702e-19,True
1869,4539.2165089582295,1.1497942288642917e-15,4.578950000000001e-19,True
1870,4540.295438832769,1.1522217361868463e-15,4.53684e-19,True
1871,4541.37462515899,1.0794749369933896e-15,4.4913300000000005e-19,True
1872,4542.454067997834,1.061044815875834e-15,4.52438e-19,True
1873,4543.533767410287,1.0262271269957757e-15,4.505970000000001e-19,True
1874,4544.613723457334,1.0158242530135244e-15,4.579079999999998e-19,True
1875,4545.693936199952,1.0077909890327046e-15,4.567329999999999e-19,True
1876,4546.774405699179,1.0049646200581878e-15,4.540940000000001e-19,True
1877,4547.855132016041,1.0337057803050379e-15,4.52389e-19,True
1878,4548.936115211569,1.0448656797042355e-15,4.49551e-19,True
1879,4550.017355346818,1.0518474311613166e-15,4.47094e-19,True
1880,4551.098852482877,1.0548635001164784e-15,4.562770000000001e-19,True
1881,4552.180606680817,1.0974340645007051e-15,4.368849999999999e-19,True
1882,4553.262618001762,1.1183131238857528e-15,4.51573e-19,True
1883,4554.344886506806,1.1656709928540626e-15,4.48492e-19,True
1884,4555.427412257078,1.1914056751322405e-15,4.49615e-19,True
1885,4556.510195313746,1.1528262656593358e-15,4.55265e-19,True
1886,4557.593235737947,1.1296790602506087e-15,4.57271e-19,True
1887,4558.676533590854,1.1388438279316097e-15,4.668279999999999e-19,True
1888,4559.760088933672,1.1448248257065007e-15,4.620630000000001e-19,True
1889,4560.843901827587,1.1363247702285713e-15,4.57744e-19,True
1890,4561.92797233384,1.1302381826760695e-15,4.587050000000001e-19,True
1891,4563.012300513642,1.134889692357863e-15,4.59741e-19,True
1892,4564.096886428237,1.1384698871733039e-15,4.6183e-19,True
1893,4565.181730138903,1.1545980218361617e-15,4.581260000000001e-19,True
1894,4566.266831706907,1.1680333204983516e-15,4.555610000000001e-19,True
1895,4567.35219119354,1.1398752950646489e-15,4.52585e-19,True
1896,4568.437808660108,1.1146408725657525e-15,4.491930000000001e-19,True
1897,4569.523684167921,1.1087747063621693e-15,4.47182e-19,True
1898,4570.609817778336,1.103148651319996e-15,4.529199999999999e-19,True
1899,4571.696209552672,1.1273497300623389e-15,4.51123e-19,True
1900,4572.782859552315,1.1521081561621144e-15,4.539029999999998e-19,True
1901,4573.869767838635,1.176182333571461e-15,4.444740000000002e-19,True
1902,4574.956934473024,1.202370166479651e-15,4.523890000000001e-19,True
1903,4576.04435951689,1.1970991384423504e-15,4.489339999999998e-19,True
1904,4577.132043031645,1.1910377261193316e-15,4.54325e-19,True
1905,4578.21998507875,1.1976506084926855e-15,4.509749999999999e-19,True
1906,4579.308185719632,1.2056988398439285e-15,4.545509999999999e-19,True
1907,4580.396645015763,1.2042987335456329e-15,4.47652e-19,True
1908,4581.485363028617,1.2025178277651668e-15,4.452360000000001e-19,True
1909,4582.574339819703,1.2133670898148091e-15,4.495410000000001e-19,True
1910,4583.663575450523,1.227944637054828e-15,4.46988e-19,True
1911,4584.7530699826,1.2129646218045346e-15,4.46358e-19,True
1912,4585.842823477466,1.1919378538633165e-15,4.419289999999998e-19,True
1913,4586.9328359966885,1.1881889972183556e-15,4.500420000000001e-19,True
1914,4588.023107601828,1.1827085480493098e-15,4.44209e-19,True
1915,4589.113638354466,1.1823711558531358e-15,4.422649999999999e-19,True
1916,4590.2044283162,1.1818604986407565e-15,4.3530899999999985e-19,True
1917,4591.295477548651,1.1632777068077807e-15,4.417449999999999e-19,True
1918,4592.386786113428,1.1340184924541685e-15,4.385309999999999e-19,True
1919,4593.47835407217,1.15896192829929e-15,4.378010000000001e-19,True
1920,4594.570181486552,1.1994986271499084e-15,4.41693e-19,True
1921,4595.662268418233,1.1954719243288556e-15,4.452700000000001e-19,True
1922,4596.754614928893,1.1887250093289456e-15,4.48512e-19,True
1923,4597.847221080253,1.1747799131830578e-15,4.482489999999999e-19,True
1924,4598.940086934004,1.1508663264016831e-15,4.35786e-19,True
1925,4600.033212551884,1.1746166679549272e-15,4.40123e-19,True
1926,4601.126597995635,1.2161253703144227e-15,4.429979999999999e-19,True
1927,4602.220243327009,1.207710786006297e-15,4.434310000000001e-19,True
1928,4603.314148607784,1.192704650364436e-15,4.5145e-19,True
1929,4604.408313899758,1.211577561824504e-15,4.575159999999999e-19,True
