# objname, z,  logstellar_mass_median, logstellar_mass_errup, logstellar_mass_errdown, sfr_100myr_median, sfr_100myr_errup, sfr_100myr_errdown, logssfr_100myr_median, logssfr_100myr_errup, logssfr_100myr_errdown, logzsol_median, logzsol_errup, logzsol_errdown, tau_dust_median, tau_dust_errup, tau_dust_errdown, avg_age_median, avg_age_errup, avg_age_errdown
COSMOS_33374,0.5422,8.2470,8.3390,8.1054,0.0045,0.0273,0.0006,-10.6016,-9.6904,-11.5425,-1.2733,-0.7606,-1.7081,0.3374,0.6188,0.1417,4.3340,5.3989,2.7823
COSMOS_33382,0.9041,10.1384,10.1873,10.0996,0.7568,1.3375,0.4457,-10.2662,-9.9841,-10.5154,-0.2912,-0.0562,-0.5109,0.8647,0.9941,0.6718,3.7160,3.9321,3.3732
COSMOS_33383,1.0301,8.9745,9.0657,8.8749,0.5002,1.1215,0.2906,-9.2641,-8.9011,-9.5201,-1.3141,-1.0292,-1.6500,0.1761,0.3839,0.0730,2.4030,2.9613,1.7892
COSMOS_33384,1.1490,10.7780,10.8582,10.7301,50.2328,72.2749,30.8629,-9.0965,-8.8745,-9.3027,-0.1179,0.0170,-0.2234,1.0932,1.1981,0.8206,2.8388,3.8996,2.5609
COSMOS_33385,1.4987,10.5284,10.5814,10.4739,34.3206,42.5023,28.8901,-8.9884,-8.8739,-9.0962,-0.2770,-0.1456,-0.4422,1.2166,1.4511,1.0910,1.6506,1.9813,1.3502
COSMOS_33386,0.9226,10.3807,10.4152,10.3422,4.5780,6.1601,3.5845,-9.7047,-9.5964,-9.8357,-0.0995,-0.0039,-0.3850,0.6823,0.7431,0.6354,3.5454,3.9270,3.1914
COSMOS_33388,0.8752,11.3403,11.3616,11.3038,1.7042,2.0016,1.4275,-11.1123,-11.0357,-11.1823,0.0071,0.0372,-0.0242,0.4381,0.4821,0.4088,5.1185,5.3101,4.2252
COSMOS_33392,0.5177,9.7775,9.9797,9.2428,3.7000,20.2411,2.0400,-9.2209,-7.9313,-9.6720,0.0129,0.1356,-0.7779,0.5334,0.6388,0.2890,3.1256,4.2495,0.1211
COSMOS_33395,1.5818,9.3827,9.4660,9.3048,1.1888,1.6212,0.7785,-9.3410,-9.1233,-9.5217,-0.0155,0.1041,-0.1944,0.0765,0.1424,0.0293,1.9350,2.3155,1.7293
COSMOS_33397,0.9818,10.0474,10.0967,9.9991,7.4266,8.7058,6.1629,-9.1753,-9.0795,-9.2901,0.1193,0.1683,0.0482,0.7563,0.8829,0.6611,2.6898,3.0275,2.4025
COSMOS_33400,1.1675,9.9692,10.0894,9.9001,10.4500,12.0426,7.8785,-8.9427,-8.8278,-9.1971,-0.1425,0.0935,-0.3799,0.6440,0.7407,0.4433,1.6779,2.2988,1.2604
COSMOS_33404,2.4421,9.2573,9.4293,8.9555,3.6007,4.7746,2.7684,-8.7062,-8.3213,-8.9305,-0.8437,-0.4469,-1.2746,0.3018,0.4136,0.1870,1.0243,1.6591,0.5032
COSMOS_33406,1.3511,8.9293,9.0023,8.7808,9.4286,10.7443,4.8452,-7.9496,-7.9065,-8.0696,-0.2744,0.0632,-0.4334,1.1592,1.2652,0.8671,0.1696,0.4795,0.0671
COSMOS_33408,2.9356,9.6521,9.7735,9.5079,6.8033,10.2258,4.7444,-8.7976,-8.5339,-9.0426,-1.0490,-0.7006,-1.4243,0.2159,0.3646,0.1164,0.7701,1.0153,0.4546
COSMOS_33410,1.4984,8.4339,8.7850,8.1335,1.4300,2.1278,0.9670,-8.2110,-7.9813,-8.6334,-1.4591,-1.0286,-1.7935,1.1286,1.3467,0.9243,0.6913,1.5840,0.1110
COSMOS_33414,1.0215,8.7023,8.8282,8.4789,1.0350,1.4301,0.7174,-8.6952,-8.3352,-8.9619,-0.4646,0.0306,-0.9036,0.1454,0.2102,0.1034,1.8711,2.5728,0.9664
