# objname, z, logm_median, logm_errup, logm_errdown, logsfr_median, logsfr_errup, logsfr_errdown, fagn_median, fagn_errup, fagn_errdown, fmir_median, fmir_errup, fmir_errdown, ssfr_100_median, ssfr_100_errup, ssfr_100_errdown, massmet_2_median, massmet_2_errup, massmet_2_errdown, dust2_median, dust2_errup, dust2_errdown, avg_age_median, avg_age_errup, avg_age_errdown 
434078,0.339,10.742,10.759,10.728,-0.139,-0.003,-0.241,0.051,0.071,0.035,0.501,0.582,0.413,-10.883,-10.750,-10.986,0.078,0.124,0.019,0.023,0.060,0.007,6.137,6.689,5.853
434108,0.122,9.083,9.121,9.045,-0.879,-0.760,-1.008,0.000,0.004,0.000,0.009,0.080,0.001,-9.967,-9.830,-10.103,-0.523,-0.420,-0.634,0.073,0.108,0.042,5.923,6.523,5.342
434119,0.585,9.243,9.309,9.176,-0.907,-0.692,-1.108,0.001,0.017,0.000,0.029,0.291,0.002,-10.145,-9.932,-10.355,-0.994,-0.775,-1.276,0.102,0.229,0.033,3.984,4.546,3.393
434120,0.471,9.194,9.251,9.126,-1.777,-1.246,-2.578,0.001,0.018,0.000,0.018,0.221,0.001,-10.979,-10.397,-11.797,-0.896,-0.655,-1.238,0.281,0.465,0.122,5.150,5.842,4.435
434129,0.426,10.989,11.008,10.972,0.816,0.898,0.747,0.108,0.141,0.077,0.473,0.533,0.398,-10.170,-10.092,-10.242,-0.294,-0.218,-0.388,0.801,0.869,0.754,5.979,6.291,5.683
434152,0.356,10.456,10.488,10.419,0.549,0.650,0.450,0.137,0.182,0.102,0.564,0.628,0.501,-9.905,-9.793,-10.015,-0.395,-0.284,-0.529,0.329,0.391,0.266,5.035,5.632,4.541
434156,0.688,10.677,10.725,10.627,1.140,1.269,1.018,0.085,0.142,0.044,0.380,0.485,0.268,-9.535,-9.380,-9.688,-0.519,-0.300,-0.688,0.894,0.966,0.826,3.351,3.676,2.987
434165,0.261,8.791,8.850,8.738,-0.813,-0.691,-0.946,0.001,0.005,0.000,0.020,0.174,0.002,-9.607,-9.496,-9.738,-0.877,-0.732,-1.062,0.034,0.085,0.010,4.835,5.463,4.264
434166,0.764,9.634,9.702,9.429,0.789,0.925,0.619,0.000,0.009,0.000,0.002,0.081,0.000,-8.812,-8.626,-9.005,-0.888,-0.462,-1.193,0.470,0.647,0.305,2.300,2.648,1.932
434177,0.692,9.314,9.379,9.239,-0.384,-0.242,-0.551,0.198,0.381,0.065,0.796,0.906,0.579,-9.705,-9.520,-9.893,-1.385,-1.102,-1.670,0.085,0.177,0.030,2.978,3.430,2.269
434180,0.514,9.379,9.461,9.287,-0.906,-0.676,-1.101,0.211,0.296,0.143,0.778,0.888,0.645,-10.296,-10.050,-10.513,-1.481,-1.117,-1.795,0.223,0.360,0.075,4.647,5.779,4.151
434188,0.709,9.487,9.554,9.401,-0.148,0.060,-0.346,0.001,0.013,0.000,0.012,0.114,0.001,-9.637,-9.373,-9.869,-0.735,-0.368,-1.125,0.473,0.651,0.277,3.600,4.054,3.032
434218,0.477,9.755,9.806,9.704,-1.039,-0.717,-1.519,0.000,0.004,0.000,0.004,0.058,0.000,-10.803,-10.469,-11.271,-0.677,-0.481,-0.920,0.315,0.449,0.184,5.497,6.631,4.853
434226,0.411,9.150,9.226,9.065,-0.208,-0.079,-0.323,0.001,0.008,0.000,0.008,0.058,0.001,-9.359,-9.169,-9.526,-0.569,-0.349,-0.798,0.400,0.487,0.317,4.439,4.998,3.797
434265,0.326,9.065,9.094,9.027,-2.587,-1.939,-3.861,0.000,0.002,0.000,0.003,0.021,0.000,-11.651,-10.999,-12.937,-1.938,-1.875,-1.967,0.828,0.889,0.777,6.124,6.667,5.601
434267,0.299,9.325,9.373,9.282,-0.228,-0.103,-0.349,0.026,0.034,0.018,0.273,0.358,0.199,-9.558,-9.425,-9.679,-0.527,-0.384,-0.683,0.153,0.221,0.100,4.263,4.951,3.597
434358,0.719,9.173,9.254,9.049,-0.737,-0.352,-1.259,0.001,0.014,0.000,0.009,0.109,0.001,-9.917,-9.417,-10.491,-0.190,0.054,-0.562,0.682,0.890,0.480,3.695,4.304,2.999
434380,0.080,8.617,8.652,8.582,-0.701,-0.613,-0.785,0.014,0.044,0.004,0.158,0.335,0.060,-9.317,-9.212,-9.418,-0.366,-0.277,-0.457,0.289,0.338,0.249,6.247,6.853,5.672
434388,0.520,11.097,11.130,11.029,-1.811,-1.097,-3.446,0.000,0.002,0.000,0.003,0.030,0.000,-12.896,-12.180,-14.542,-0.314,-0.189,-0.445,0.285,0.366,0.215,7.149,7.822,5.613
434397,0.518,9.609,9.693,9.527,0.097,0.293,-0.008,0.004,0.025,0.000,0.040,0.203,0.003,-9.521,-9.317,-9.643,-0.811,-0.594,-1.121,0.380,0.531,0.278,2.958,3.564,2.163
434408,0.438,9.182,9.272,9.095,-0.472,-0.315,-0.648,0.001,0.029,0.000,0.010,0.220,0.001,-9.643,-9.461,-9.885,-0.975,-0.672,-1.395,0.363,0.462,0.256,4.211,4.838,3.542
434409,0.466,9.338,9.458,9.255,-0.224,-0.075,-0.380,0.001,0.006,0.000,0.009,0.098,0.001,-9.588,-9.376,-9.774,-0.864,-0.582,-1.327,0.264,0.385,0.135,3.806,4.463,3.043
434434,0.314,8.833,8.904,8.752,-2.170,-1.698,-3.005,0.001,0.009,0.000,0.011,0.121,0.001,-11.014,-10.499,-11.871,-0.925,-0.620,-1.318,0.450,0.622,0.277,5.645,6.410,4.843
434435,0.397,10.075,10.143,10.015,0.262,0.392,0.099,0.001,0.010,0.000,0.012,0.071,0.001,-9.813,-9.648,-10.017,-0.427,-0.173,-0.670,0.801,0.900,0.704,4.338,4.970,3.711
434443,0.228,9.212,9.301,9.167,-2.523,-1.861,-3.898,0.000,0.005,0.000,0.004,0.044,0.000,-11.756,-11.056,-13.162,0.107,0.164,-0.014,1.084,1.292,0.918,7.625,10.000,6.704
434448,0.577,10.785,10.818,10.749,-0.706,-0.412,-1.276,0.000,0.004,0.000,0.004,0.038,0.001,-11.493,-11.192,-12.071,-0.219,-0.055,-0.413,1.090,1.204,0.979,4.898,5.384,4.457
434481,0.387,9.322,9.381,9.220,-1.113,-0.612,-1.745,0.097,0.152,0.049,0.606,0.836,0.325,-10.435,-9.851,-11.099,-1.504,-1.246,-1.756,0.235,0.372,0.071,4.947,5.693,3.876
434502,0.601,9.034,9.113,8.972,-0.149,-0.043,-0.291,0.001,0.009,0.000,0.012,0.121,0.001,-9.190,-9.053,-9.368,-0.311,-0.064,-0.690,0.132,0.251,0.050,1.758,2.494,1.149
434513,0.793,10.155,10.210,10.087,-1.369,-0.724,-2.595,0.000,0.002,0.000,0.004,0.029,0.001,-11.532,-10.862,-12.760,-1.958,-1.930,-1.973,0.455,0.525,0.379,3.052,3.777,2.113
434517,0.337,8.548,8.611,8.479,-2.312,-1.796,-3.260,0.001,0.010,0.000,0.010,0.113,0.001,-10.863,-10.325,-11.827,-1.593,-1.234,-1.843,0.549,0.688,0.398,5.620,6.450,4.771
434519,0.708,9.418,9.504,9.310,-0.152,0.049,-0.365,0.002,0.056,0.000,0.015,0.364,0.001,-9.588,-9.288,-9.828,-0.379,-0.018,-0.912,0.408,0.596,0.217,2.992,3.569,2.181
