,wavelen,flux,flux_unc,mask
411,3328.8000000000748,0.0,0.0,False
412,3329.600000000075,0.0,0.0,False
413,3330.400000000075,0.0,0.0,False
414,3331.2000000000753,0.0,0.0,False
415,3332.0000000000755,0.0,0.0,False
416,3332.8000000000757,0.0,0.0,False
417,3333.600000000076,0.0,0.0,False
418,3334.400000000076,0.0,0.0,False
419,3335.200000000076,0.0,0.0,False
420,3336.0000000000764,0.0,0.0,False
421,3336.8000000000766,0.0,0.0,False
422,3337.6000000000768,0.0,0.0,False
423,3338.400000000077,0.0,0.0,False
424,3339.200000000077,0.0,0.0,False
425,3340.0000000000773,0.0,0.0,False
426,3340.8000000000775,0.0,0.0,False
427,3341.6000000000777,0.0,0.0,False
428,3342.400000000078,0.0,0.0,False
429,3343.200000000078,0.0,0.0,False
430,3344.000000000078,0.0,0.0,False
431,3344.8000000000784,0.0,0.0,False
432,3345.6000000000786,0.0,0.0,False
433,3346.4000000000788,0.0,0.0,False
434,3347.200000000079,0.0,0.0,False
435,3348.000000000079,0.0,0.0,False
436,3348.8000000000793,0.0,0.0,False
437,3349.6000000000795,0.0,0.0,False
438,3350.4000000000797,0.0,0.0,False
439,3351.20000000008,0.0,0.0,False
440,3352.00000000008,0.0,0.0,False
441,3352.80000000008,0.0,0.0,False
442,3353.6000000000804,0.0,0.0,False
443,3354.4000000000806,0.0,0.0,False
444,3355.2000000000808,0.0,0.0,False
445,3356.000000000081,0.0,0.0,False
446,3356.800000000081,0.0,0.0,False
447,3357.6000000000813,0.0,0.0,False
448,3358.4000000000815,0.0,0.0,False
449,3359.2000000000817,0.0,0.0,False
450,3360.000000000082,0.0,0.0,False
451,3360.800000000082,0.0,0.0,False
452,3361.600000000082,0.0,0.0,False
453,3362.4000000000824,0.0,0.0,False
454,3363.2000000000826,0.0,0.0,False
455,3364.0000000000828,0.0,0.0,False
456,3364.800000000083,0.0,0.0,False
457,3365.600000000083,0.0,0.0,False
458,3366.4000000000833,0.0,0.0,False
459,3367.2000000000835,0.0,0.0,False
460,3368.0000000000837,0.0,0.0,False
461,3368.800000000084,0.0,0.0,False
462,3369.600000000084,0.0,0.0,False
463,3370.400000000084,0.0,0.0,False
464,3371.2000000000844,0.0,0.0,False
465,3372.0000000000846,0.0,0.0,False
466,3372.8000000000848,0.0,0.0,False
467,3373.600000000085,0.0,0.0,False
468,3374.400000000085,0.0,0.0,False
469,3375.2000000000853,0.0,0.0,False
470,3376.0000000000855,0.0,0.0,False
471,3376.8000000000857,0.0,0.0,False
472,3377.600000000086,0.0,0.0,False
473,3378.400000000086,0.0,0.0,False
474,3379.200000000086,0.0,0.0,False
475,3380.0000000000864,0.0,0.0,False
476,3380.8000000000866,0.0,0.0,False
477,3381.6000000000868,0.0,0.0,False
478,3382.400000000087,0.0,0.0,False
479,3383.200000000087,0.0,0.0,False
480,3384.0000000000873,0.0,0.0,False
481,3384.8000000000875,0.0,0.0,False
482,3385.6000000000877,0.0,0.0,False
483,3386.400000000088,0.0,0.0,False
484,3387.200000000088,0.0,0.0,False
485,3388.000000000088,0.0,0.0,False
486,3388.8000000000884,0.0,0.0,False
487,3389.6000000000886,0.0,0.0,False
